,Labels,XBRLID_predicted
9796,bloomberg barclays global aggregate ex usd usd unhedged index reflects deductions fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
9797,lipper international income funds average reflects deductions taxes one year average annual return,rr_AverageAnnualReturnYear01
9798,lipper international income funds average reflects deductions taxes five years average annual return,rr_AverageAnnualReturnYear05
9799,lipper international income funds average reflects deductions taxes ten years average annual return,rr_AverageAnnualReturnYear10
9800,bloomberg barclays global aggregate ex usd usd hedged index reflects deductions fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
9801,bloomberg barclays global aggregate ex usd usd hedged index reflects deductions fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
9802,bloomberg barclays global aggregate ex usd usd hedged index reflects deductions fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
9803,credit suisse commodity benchmark index reflects deductions fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
9804,credit suisse commodity benchmark index reflects deductions fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
9805,credit suisse commodity benchmark index reflects deductions fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
9806,lipper commodities general funds average reflects deductions taxes one year average annual return,rr_AverageAnnualReturnYear01
9807,lipper commodities general funds average reflects deductions taxes five years average annual return,rr_AverageAnnualReturnYear05
9808,lipper commodities general funds average reflects deductions taxes ten years average annual return,rr_AverageAnnualReturnYear10
9809,bloomberg commodity index total return reflects deductions fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
9810,bloomberg commodity index total return reflects deductions fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
9811,bloomberg commodity index total return reflects deductions fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
9812,institutional class return after taxes on distributions and sales of fund shares one year average annual return,rr_AverageAnnualReturnYear01
9813,institutional class return after taxes on distributions and sales of fund shares five years average annual return,rr_AverageAnnualReturnYear05
9814,institutional class return after taxes on distributions and sales of fund shares since inception average annual return,rr_AverageAnnualReturnSinceInception
9815,lipper flexible portfolio funds average reflects deductions taxes one year average annual return,rr_AverageAnnualReturnYear01
9816,lipper flexible portfolio funds average reflects deductions taxes five years average annual return,rr_AverageAnnualReturnYear05
9817,lipper flexible portfolio funds average reflects deductions taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
9818,bloomberg barclays u s treasury inflation notes ten year index reflects deductions fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
9819,bloomberg barclays u s treasury inflation notes ten year index reflects deductions fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
9820,bloomberg barclays u s treasury inflation notes ten year index reflects deductions fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
9821,lipper inflation protected bond funds average reflects deductions taxes one year average annual return,rr_AverageAnnualReturnYear01
9822,lipper inflation protected bond funds average reflects deductions taxes five years average annual return,rr_AverageAnnualReturnYear05
9823,lipper inflation protected bond funds average reflects deductions taxes ten years average annual return,rr_AverageAnnualReturnYear10
9824,dow jones u s select reit total return index reflects deductions fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
9825,dow jones u s select reit total return index reflects deductions fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
9826,dow jones u s select reit total return index reflects deductions fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
9827,lipper real estate funds average reflects deductions taxes one year average annual return,rr_AverageAnnualReturnYear01
9828,lipper real estate funds average reflects deductions taxes five years average annual return,rr_AverageAnnualReturnYear05
9829,lipper real estate funds average reflects deductions taxes ten years average annual return,rr_AverageAnnualReturnYear10
9830,class m return before taxes one year average annual return,rr_AverageAnnualReturnYear01
9831,class m return before taxes five years average annual return,rr_AverageAnnualReturnYear05
9832,class m return before taxes ten years average annual return,rr_AverageAnnualReturnYear10
9833,lipper institutional u s government money market funds average reflects deductions taxes one year average annual return,rr_AverageAnnualReturnYear01
9834,lipper institutional u s government money market funds average reflects deductions taxes five years average annual return,rr_AverageAnnualReturnYear05
9835,lipper institutional u s government money market funds average reflects deductions taxes ten years average annual return,rr_AverageAnnualReturnYear10
9836,class m return before taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
9837,lipper ultra short obligation funds average reflects deductions taxes one year average annual return,rr_AverageAnnualReturnYear01
9838,lipper ultra short obligation funds average reflects deductions taxes five years average annual return,rr_AverageAnnualReturnYear05
9839,lipper ultra short obligation funds average reflects deductions taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
9840,lipper ultra short obligation funds average reflects deductions taxes ten years average annual return,rr_AverageAnnualReturnYear10
9841,bloomberg barclays california intermediate municipal bond index reflects deductions fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
9842,bloomberg barclays california intermediate municipal bond index reflects deductions fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
9843,bloomberg barclays california intermediate municipal bond index reflects deductions fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
9844,lipper california intermediate municipal debt funds average reflects deductions taxes one year average annual return,rr_AverageAnnualReturnYear01
9845,lipper california intermediate municipal debt funds average reflects deductions taxes five years average annual return,rr_AverageAnnualReturnYear05
9846,lipper california intermediate municipal debt funds average reflects deductions taxes ten years average annual return,rr_AverageAnnualReturnYear10
9847,lipper california municipal debt funds average reflects deductions taxes one year average annual return,rr_AverageAnnualReturnYear01
9848,lipper california municipal debt funds average reflects deductions taxes five years average annual return,rr_AverageAnnualReturnYear05
9849,lipper california municipal debt funds average reflects deductions taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
9850,bloomberg barclays california one year municipal bond index reflects deductions fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
9851,bloomberg barclays california one year municipal bond index reflects deductions fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
9852,bloomberg barclays california one year municipal bond index reflects deductions fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
9853,lipper california short intermediate municipal debt funds average reflects deductions taxes one year average annual return,rr_AverageAnnualReturnYear01
9854,lipper california short intermediate municipal debt funds average reflects deductions taxes five years average annual return,rr_AverageAnnualReturnYear05
9855,lipper california short intermediate municipal debt funds average reflects deductions taxes ten years average annual return,rr_AverageAnnualReturnYear10
9856,bloomberg barclays high yield municipal bond index reflects deductions fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
9857,lipper high yield municipal debt funds av erage reflects deductions taxes one year average annual return,rr_AverageAnnualReturnYear01
9858,lipper high yield municipal debt funds av erage reflects deductions taxes five years average annual return,rr_AverageAnnualReturnYear05
9859,lipper high yield municipal debt funds av erage reflects deductions taxes ten years average annual return,rr_AverageAnnualReturnYear10
9860,bloomberg barclays municipal bond index reflects deductions fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
9861,lipper general insured municipal debt funds average reflects deductions taxes one year average annual return,rr_AverageAnnualReturnYear01
9862,lipper general insured municipal debt funds average reflects deductions taxes five years average annual return,rr_AverageAnnualReturnYear05
9863,lipper general insured municipal debt funds average reflects deductions taxes ten years average annual return,rr_AverageAnnualReturnYear10
9864,lipper intermediate municipal debt funds average reflects deductions taxes one year average annual return,rr_AverageAnnualReturnYear01
9865,lipper intermediate municipal debt funds average reflects deductions taxes five years average annual return,rr_AverageAnnualReturnYear05
9866,lipper intermediate municipal debt funds average reflects deductions taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
9867,bloomberg barclays new york municipal bond index reflects deductions fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
9868,lipper new york municipal debt funds average reflects deductions taxes one year average annual return,rr_AverageAnnualReturnYear01
9869,lipper new york municipal debt funds average reflects deductions taxes five years average annual return,rr_AverageAnnualReturnYear05
9870,lipper new york municipal debt funds average reflects deductions taxes ten years average annual return,rr_AverageAnnualReturnYear10
9871,bloomberg barclays one year municipal bond index reflects deductions fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
9872,bloomberg barclays one year municipal bond index reflects deductions fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
9873,bloomberg barclays one year municipal bond index reflects deductions fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
9874,lipper short municipal debt funds average reflects deductions taxes one year average annual return,rr_AverageAnnualReturnYear01
9875,lipper short municipal debt funds average reflects deductions taxes five years average annual return,rr_AverageAnnualReturnYear05
9876,lipper short municipal debt funds average reflects deductions taxes ten years average annual return,rr_AverageAnnualReturnYear10
9877,lipper alternative managed futures funds average reflects deductions taxes one year average annual return,rr_AverageAnnualReturnYear01
9878,lipper alternative managed futures funds average reflects deductions taxes five years average annual return,rr_AverageAnnualReturnYear05
9879,lipper alternative managed futures funds average reflects deductions taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
9880,shareholder fees fees paid directly investment institutional shares,rr_ShareholderFeesCaption
9881,annual fund operating expenses expenses pay year as percentage of value of investment institutional shares,rr_OperatingExpensesCaption
9882,j morgan embi global diversified reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
9883,j morgan embi global diversified reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
9884,j morgan esg embi global diversified index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
9885,j morgan esg embi global diversified index reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
9886,vaneck bdc income etf return before taxes average annual return,rr_AverageAnnualReturnLabel
9887,vaneck bdc income etf return before taxes past one year average annual return,rr_AverageAnnualReturnYear01
9888,vaneck bdc income etf return before taxes past five years average annual return,rr_AverageAnnualReturnYear05
9889,vaneck bdc income etf return before taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
9890,vaneck bdc income etf return after taxes on distributions average annual return,rr_AverageAnnualReturnLabel
9891,vaneck bdc income etf return after taxes on distributions past one year average annual return,rr_AverageAnnualReturnYear01
9892,vaneck bdc income etf return after taxes on distributions past five years average annual return,rr_AverageAnnualReturnYear05
9893,vaneck bdc income etf return after taxes on distributions since inception average annual return,rr_AverageAnnualReturnSinceInception
9894,vaneck bdc income etf return after taxes on distributions and sale of fund shares average annual return,rr_AverageAnnualReturnLabel
9895,vaneck bdc income etf return after taxes on distributions and sale of fund shares past one year average annual return,rr_AverageAnnualReturnYear01
9896,vaneck bdc income etf return after taxes on distributions and sale of fund shares past five years average annual return,rr_AverageAnnualReturnYear05
9897,vaneck bdc income etf return after taxes on distributions and sale of fund shares since inception average annual return,rr_AverageAnnualReturnSinceInception
9898,mvis business development companies index reflects deduction fees expenses taxes average annual return,rr_AverageAnnualReturnLabel
9899,mvis business development companies index reflects deduction fees expenses taxes,rr_IndexNoDeductionForFeesExpensesTaxes
9900,mvis business development companies index reflects deduction fees expenses taxes past one year average annual return,rr_AverageAnnualReturnYear01
9901,mvis business development companies index reflects deduction fees expenses taxes past five years average annual return,rr_AverageAnnualReturnYear05
9902,mvis business development companies index reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
9903,vaneck vectors emerging markets aggregate bond etf return before taxes average annual return,rr_AverageAnnualReturnLabel
9904,vaneck vectors emerging markets aggregate bond etf return before taxes past one year average annual return,rr_AverageAnnualReturnYear01
9905,vaneck vectors emerging markets aggregate bond etf return before taxes past five years average annual return,rr_AverageAnnualReturnYear05
9906,vaneck vectors emerging markets aggregate bond etf return before taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
9907,vaneck vectors emerging markets aggregate bond etf return after taxes on distributions average annual return,rr_AverageAnnualReturnLabel
9908,vaneck vectors emerging markets aggregate bond etf return after taxes on distributions past one year average annual return,rr_AverageAnnualReturnYear01
9909,vaneck vectors emerging markets aggregate bond etf return after taxes on distributions past five years average annual return,rr_AverageAnnualReturnYear05
9910,vaneck vectors emerging markets aggregate bond etf return after taxes on distributions since inception average annual return,rr_AverageAnnualReturnSinceInception
9911,vaneck vectors emerging markets aggregate bond etf return after taxes on distributions and sale of fund shares average annual return,rr_AverageAnnualReturnLabel
9912,vaneck vectors emerging markets aggregate bond etf return after taxes on distributions and sale of fund shares past one year average annual return,rr_AverageAnnualReturnYear01
9913,vaneck vectors emerging markets aggregate bond etf return after taxes on distributions and sale of fund shares past five years average annual return,rr_AverageAnnualReturnYear05
9914,vaneck vectors emerging markets aggregate bond etf return after taxes on distributions and sale of fund shares since inception average annual return,rr_AverageAnnualReturnSinceInception
9915,mvis em aggregate bond index reflects deduction fees expenses taxes average annual return,rr_AverageAnnualReturnLabel
9916,mvis em aggregate bond index reflects deduction fees expenses taxes,rr_IndexNoDeductionForFeesExpensesTaxes
9917,mvis em aggregate bond index reflects deduction fees expenses taxes past one year average annual return,rr_AverageAnnualReturnYear01
9918,mvis em aggregate bond index reflects deduction fees expenses taxes past five years average annual return,rr_AverageAnnualReturnYear05
9919,mvis em aggregate bond index reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
9920,bloomberg aggregate bond index reflects deduction fees expenses taxes average annual return,rr_AverageAnnualReturnLabel
9921,bloomberg aggregate bond index reflects deduction fees expenses taxes past one year average annual return,rr_AverageAnnualReturnYear01
9922,bloomberg aggregate bond index reflects deduction fees expenses taxes past five years average annual return,rr_AverageAnnualReturnYear05
9923,bloomberg aggregate bond index reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
9924,vaneck emerging markets high yield bond etf return before taxes average annual return,rr_AverageAnnualReturnLabel
9925,vaneck emerging markets high yield bond etf return before taxes past one year average annual return,rr_AverageAnnualReturnYear01
9926,vaneck emerging markets high yield bond etf return before taxes past five years average annual return,rr_AverageAnnualReturnYear05
9927,vaneck emerging markets high yield bond etf return before taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
9928,vaneck emerging markets high yield bond etf return after taxes on distributions average annual return,rr_AverageAnnualReturnLabel
9929,vaneck emerging markets high yield bond etf return after taxes on distributions past one year average annual return,rr_AverageAnnualReturnYear01
9930,vaneck emerging markets high yield bond etf return after taxes on distributions past five years average annual return,rr_AverageAnnualReturnYear05
9931,vaneck emerging markets high yield bond etf return after taxes on distributions since inception average annual return,rr_AverageAnnualReturnSinceInception
9932,vaneck emerging markets high yield bond etf return after taxes on distributions and sale of fund shares average annual return,rr_AverageAnnualReturnLabel
9933,vaneck emerging markets high yield bond etf return after taxes on distributions and sale of fund shares past one year average annual return,rr_AverageAnnualReturnYear01
9934,vaneck emerging markets high yield bond etf return after taxes on distributions and sale of fund shares past five years average annual return,rr_AverageAnnualReturnYear05
9935,vaneck emerging markets high yield bond etf return after taxes on distributions and sale of fund shares since inception average annual return,rr_AverageAnnualReturnSinceInception
9936,ice bofa diversified high yield emerging markets corporate plus index reflects deduction fees expenses taxes average annual return,rr_AverageAnnualReturnLabel
9937,ice bofa diversified high yield emerging markets corporate plus index reflects deduction fees expenses taxes,rr_IndexNoDeductionForFeesExpensesTaxes
9938,ice bofa diversified high yield emerging markets corporate plus index reflects deduction fees expenses taxes past one year average annual return,rr_AverageAnnualReturnYear01
9939,ice bofa diversified high yield emerging markets corporate plus index reflects deduction fees expenses taxes past five years average annual return,rr_AverageAnnualReturnYear05
9940,ice bofa diversified high yield emerging markets corporate plus index reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
9941,vaneck fallen angel high yield bond etf return before taxes average annual return,rr_AverageAnnualReturnLabel
9942,vaneck fallen angel high yield bond etf return before taxes past one year average annual return,rr_AverageAnnualReturnYear01
9943,vaneck fallen angel high yield bond etf return before taxes past five years average annual return,rr_AverageAnnualReturnYear05
9944,vaneck fallen angel high yield bond etf return before taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
9945,vaneck fallen angel high yield bond etf return after taxes on distributions average annual return,rr_AverageAnnualReturnLabel
9946,vaneck fallen angel high yield bond etf return after taxes on distributions past one year average annual return,rr_AverageAnnualReturnYear01
9947,vaneck fallen angel high yield bond etf return after taxes on distributions past five years average annual return,rr_AverageAnnualReturnYear05
9948,vaneck fallen angel high yield bond etf return after taxes on distributions since inception average annual return,rr_AverageAnnualReturnSinceInception
9949,vaneck fallen angel high yield bond etf return after taxes on distributions and sale of fund shares average annual return,rr_AverageAnnualReturnLabel
9950,vaneck fallen angel high yield bond etf return after taxes on distributions and sale of fund shares past one year average annual return,rr_AverageAnnualReturnYear01
9951,vaneck fallen angel high yield bond etf return after taxes on distributions and sale of fund shares past five years average annual return,rr_AverageAnnualReturnYear05
9952,vaneck fallen angel high yield bond etf return after taxes on distributions and sale of fund shares since inception average annual return,rr_AverageAnnualReturnSinceInception
9953,past one year since inception average annual return,rr_AverageAnnualReturnInceptionDate
9954,vaneck green bond etf return before taxes average annual return,rr_AverageAnnualReturnLabel
9955,vaneck green bond etf return before taxes past one year average annual return,rr_AverageAnnualReturnYear01
9956,vaneck green bond etf return before taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
9957,vaneck green bond etf return after taxes on distributions average annual return,rr_AverageAnnualReturnLabel
9958,vaneck green bond etf return after taxes on distributions past one year average annual return,rr_AverageAnnualReturnYear01
9959,vaneck green bond etf return after taxes on distributions since inception average annual return,rr_AverageAnnualReturnSinceInception
9960,vaneck green bond etf return after taxes on distributions and sale of fund shares average annual return,rr_AverageAnnualReturnLabel
9961,vaneck green bond etf return after taxes on distributions and sale of fund shares past one year average annual return,rr_AverageAnnualReturnYear01
9962,vaneck green bond etf return after taxes on distributions and sale of fund shares since inception average annual return,rr_AverageAnnualReturnSinceInception
9963,s green bond u s dollar select index reflects deduction fees expenses taxes average annual return,rr_AverageAnnualReturnLabel
9964,s green bond u s dollar select index reflects deduction fees expenses taxes,rr_IndexNoDeductionForFeesExpensesTaxes
9965,s green bond u s dollar select index reflects deduction fees expenses taxes past one year average annual return,rr_AverageAnnualReturnYear01
9966,s green bond u s dollar select index reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
9967,vaneck international high yield bond etf return before taxes average annual return,rr_AverageAnnualReturnLabel
9968,vaneck international high yield bond etf return before taxes past one year average annual return,rr_AverageAnnualReturnYear01
9969,vaneck international high yield bond etf return before taxes past five years average annual return,rr_AverageAnnualReturnYear05
9970,vaneck international high yield bond etf return before taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
9971,vaneck international high yield bond etf return after taxes on distributions average annual return,rr_AverageAnnualReturnLabel
9972,vaneck international high yield bond etf return after taxes on distributions past one year average annual return,rr_AverageAnnualReturnYear01
9973,vaneck international high yield bond etf return after taxes on distributions past five years average annual return,rr_AverageAnnualReturnYear05
9974,vaneck international high yield bond etf return after taxes on distributions since inception average annual return,rr_AverageAnnualReturnSinceInception
9975,vaneck international high yield bond etf return after taxes on distributions and sale of fund shares average annual return,rr_AverageAnnualReturnLabel
9976,vaneck international high yield bond etf return after taxes on distributions and sale of fund shares past one year average annual return,rr_AverageAnnualReturnYear01
9977,vaneck international high yield bond etf return after taxes on distributions and sale of fund shares past five years average annual return,rr_AverageAnnualReturnYear05
9978,vaneck international high yield bond etf return after taxes on distributions and sale of fund shares since inception average annual return,rr_AverageAnnualReturnSinceInception
9979,ice bofa global ex issuers high yield constrained index reflects deduction fees expenses taxes average annual return,rr_AverageAnnualReturnLabel
9980,ice bofa global ex issuers high yield constrained index reflects deduction fees expenses taxes,rr_IndexNoDeductionForFeesExpensesTaxes
9981,ice bofa global ex issuers high yield constrained index reflects deduction fees expenses taxes past one year average annual return,rr_AverageAnnualReturnYear01
9982,ice bofa global ex issuers high yield constrained index reflects deduction fees expenses taxes past five years average annual return,rr_AverageAnnualReturnYear05
9983,ice bofa global ex issuers high yield constrained index reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
9984,vaneck investment grade floating rate etf return before taxes average annual return,rr_AverageAnnualReturnLabel
9985,vaneck investment grade floating rate etf return before taxes past one year average annual return,rr_AverageAnnualReturnYear01
9986,vaneck investment grade floating rate etf return before taxes past five years average annual return,rr_AverageAnnualReturnYear05
9987,vaneck investment grade floating rate etf return before taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
9988,vaneck investment grade floating rate etf return after taxes on distributions average annual return,rr_AverageAnnualReturnLabel
9989,vaneck investment grade floating rate etf return after taxes on distributions past one year average annual return,rr_AverageAnnualReturnYear01
9990,vaneck investment grade floating rate etf return after taxes on distributions past five years average annual return,rr_AverageAnnualReturnYear05
9991,vaneck investment grade floating rate etf return after taxes on distributions since inception average annual return,rr_AverageAnnualReturnSinceInception
9992,vaneck investment grade floating rate etf return after taxes on distributions and sale of fund shares average annual return,rr_AverageAnnualReturnLabel
9993,vaneck investment grade floating rate etf return after taxes on distributions and sale of fund shares past one year average annual return,rr_AverageAnnualReturnYear01
9994,vaneck investment grade floating rate etf return after taxes on distributions and sale of fund shares past five years average annual return,rr_AverageAnnualReturnYear05
9995,vaneck investment grade floating rate etf return after taxes on distributions and sale of fund shares since inception average annual return,rr_AverageAnnualReturnSinceInception
9996,mvis investment grade floating rate index reflects deduction fees expenses taxes average annual return,rr_AverageAnnualReturnLabel
9997,mvis investment grade floating rate index reflects deduction fees expenses taxes,rr_IndexNoDeductionForFeesExpensesTaxes
9998,mvis investment grade floating rate index reflects deduction fees expenses taxes past one year average annual return,rr_AverageAnnualReturnYear01
9999,mvis investment grade floating rate index reflects deduction fees expenses taxes past five years average annual return,rr_AverageAnnualReturnYear05
10000,mvis investment grade floating rate index reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
10001,vaneck j morgan em local currency bond etf return before taxes average annual return,rr_AverageAnnualReturnLabel
10002,vaneck j morgan em local currency bond etf return before taxes past one year average annual return,rr_AverageAnnualReturnYear01
10003,vaneck j morgan em local currency bond etf return before taxes past five years average annual return,rr_AverageAnnualReturnYear05
10004,vaneck j morgan em local currency bond etf return before taxes past ten years average annual return,rr_AverageAnnualReturnYear10
10005,vaneck j morgan em local currency bond etf return after taxes on distributions average annual return,rr_AverageAnnualReturnLabel
10006,vaneck j morgan em local currency bond etf return after taxes on distributions past one year average annual return,rr_AverageAnnualReturnYear01
10007,vaneck j morgan em local currency bond etf return after taxes on distributions past five years average annual return,rr_AverageAnnualReturnYear05
10008,vaneck j morgan em local currency bond etf return after taxes on distributions past ten years average annual return,rr_AverageAnnualReturnYear10
10009,vaneck j morgan em local currency bond etf return after taxes on distributions and sale of fund shares average annual return,rr_AverageAnnualReturnLabel
10010,vaneck j morgan em local currency bond etf return after taxes on distributions and sale of fund shares past one year average annual return,rr_AverageAnnualReturnYear01
10011,vaneck j morgan em local currency bond etf return after taxes on distributions and sale of fund shares past five years average annual return,rr_AverageAnnualReturnYear05
10012,vaneck j morgan em local currency bond etf return after taxes on distributions and sale of fund shares past ten years average annual return,rr_AverageAnnualReturnYear10
10013,j morgan gbi em global core index reflects deduction fees expenses taxes average annual return,rr_AverageAnnualReturnLabel
10014,j morgan gbi em global core index reflects deduction fees expenses taxes,rr_IndexNoDeductionForFeesExpensesTaxes
10015,j morgan gbi em global core index reflects deduction fees expenses taxes past one year average annual return,rr_AverageAnnualReturnYear01
10016,j morgan gbi em global core index reflects deduction fees expenses taxes past five years average annual return,rr_AverageAnnualReturnYear05
10017,j morgan gbi em global core index reflects deduction fees expenses taxes past ten years average annual return,rr_AverageAnnualReturnYear10
10018,bloomberg aggregate bond index reflects deduction fees expenses taxes past ten years average annual return,rr_AverageAnnualReturnYear10
10019,vaneck mortgage reit income etf return before taxes average annual return,rr_AverageAnnualReturnLabel
10020,vaneck mortgage reit income etf return before taxes past one year average annual return,rr_AverageAnnualReturnYear01
10021,vaneck mortgage reit income etf return before taxes past five years average annual return,rr_AverageAnnualReturnYear05
10022,vaneck mortgage reit income etf return before taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
10023,vaneck mortgage reit income etf return after taxes on distributions average annual return,rr_AverageAnnualReturnLabel
10024,vaneck mortgage reit income etf return after taxes on distributions past one year average annual return,rr_AverageAnnualReturnYear01
10025,vaneck mortgage reit income etf return after taxes on distributions past five years average annual return,rr_AverageAnnualReturnYear05
10026,vaneck mortgage reit income etf return after taxes on distributions since inception average annual return,rr_AverageAnnualReturnSinceInception
10027,vaneck mortgage reit income etf return after taxes on distributions and sale of fund shares average annual return,rr_AverageAnnualReturnLabel
10028,vaneck mortgage reit income etf return after taxes on distributions and sale of fund shares past one year average annual return,rr_AverageAnnualReturnYear01
10029,vaneck mortgage reit income etf return after taxes on distributions and sale of fund shares past five years average annual return,rr_AverageAnnualReturnYear05
10030,vaneck mortgage reit income etf return after taxes on distributions and sale of fund shares since inception average annual return,rr_AverageAnnualReturnSinceInception
10031,mvis mortgage reits index reflects deduction fees expenses taxes average annual return,rr_AverageAnnualReturnLabel
10032,mvis mortgage reits index reflects deduction fees expenses taxes,rr_IndexNoDeductionForFeesExpensesTaxes
10033,mvis mortgage reits index reflects deduction fees expenses taxes past one year average annual return,rr_AverageAnnualReturnYear01
10034,mvis mortgage reits index reflects deduction fees expenses taxes past five years average annual return,rr_AverageAnnualReturnYear05
10035,mvis mortgage reits index reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
10036,vaneck preferred securities ex financials etf return before taxes average annual return,rr_AverageAnnualReturnLabel
10037,vaneck preferred securities ex financials etf return before taxes past one year average annual return,rr_AverageAnnualReturnYear01
10038,vaneck preferred securities ex financials etf return before taxes past five years average annual return,rr_AverageAnnualReturnYear05
10039,vaneck preferred securities ex financials etf return before taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
10040,vaneck preferred securities ex financials etf return after taxes on distributions average annual return,rr_AverageAnnualReturnLabel
10041,vaneck preferred securities ex financials etf return after taxes on distributions past one year average annual return,rr_AverageAnnualReturnYear01
10042,vaneck preferred securities ex financials etf return after taxes on distributions past five years average annual return,rr_AverageAnnualReturnYear05
10043,vaneck preferred securities ex financials etf return after taxes on distributions since inception average annual return,rr_AverageAnnualReturnSinceInception
10044,vaneck preferred securities ex financials etf return after taxes on distributions and sale of fund shares average annual return,rr_AverageAnnualReturnLabel
10045,vaneck preferred securities ex financials etf return after taxes on distributions and sale of fund shares past one year average annual return,rr_AverageAnnualReturnYear01
10046,vaneck preferred securities ex financials etf return after taxes on distributions and sale of fund shares past five years average annual return,rr_AverageAnnualReturnYear05
10047,vaneck preferred securities ex financials etf return after taxes on distributions and sale of fund shares since inception average annual return,rr_AverageAnnualReturnSinceInception
10048,vaneck muni allocation etf return before taxes average annual return,rr_AverageAnnualReturnLabel
10049,vaneck muni allocation etf return before taxes past one year average annual return,rr_AverageAnnualReturnYear01
10050,vaneck muni allocation etf return before taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
10051,vaneck muni allocation etf return after taxes on distributions average annual return,rr_AverageAnnualReturnLabel
10052,vaneck muni allocation etf return after taxes on distributions past one year average annual return,rr_AverageAnnualReturnYear01
10053,vaneck muni allocation etf return after taxes on distributions since inception average annual return,rr_AverageAnnualReturnSinceInception
10054,vaneck muni allocation etf return after taxes on distributions and sale of fund shares average annual return,rr_AverageAnnualReturnLabel
10055,vaneck muni allocation etf return after taxes on distributions and sale of fund shares past one year average annual return,rr_AverageAnnualReturnYear01
10056,vaneck muni allocation etf return after taxes on distributions and sale of fund shares since inception average annual return,rr_AverageAnnualReturnSinceInception
10057,bloomberg municipal bond index reflects deduction fees expenses taxes average annual return,rr_AverageAnnualReturnLabel
10058,bloomberg municipal bond index reflects deduction fees expenses taxes past one year average annual return,rr_AverageAnnualReturnYear01
10059,vaneck cef muni income etf return before taxes average annual return,rr_AverageAnnualReturnLabel
10060,vaneck cef muni income etf return before taxes past one year average annual return,rr_AverageAnnualReturnYear01
10061,vaneck cef muni income etf return before taxes past five years average annual return,rr_AverageAnnualReturnYear05
10062,vaneck cef muni income etf return before taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
10063,vaneck cef muni income etf return after taxes on distributions average annual return,rr_AverageAnnualReturnLabel
